"","Cav1.TGFB1","Cav1.TGFB2","Cav1.TGFB3","Cav1.Ctrl1","Cav1.Ctrl2","Cav1.Ctrl3","Con1.TGFB1","Con1.TGFB2","Con1.TGFB3","Con1.Ctrl1","Con1.Ctrl2","Con1.Ctrl3"
"Akr1c14",8.15068059921267,8.43918274001314,8.22324385671231,11.0591641468397,10.8955688793691,10.8770204318067,8.57063879564913,9.08026109746006,8.77552142683461,11.3892858913963,11.3057065938507,11.3143906790687
"Mal2",10.7056601453757,10.5270543987194,9.82144334782817,12.7377750467939,12.6037734845788,12.5656749553542,11.1934827192882,11.0246682943869,10.6455810825772,12.7634038811268,12.6311451559853,12.5674590051967
"Csdc2",9.25332562560185,8.5272165963826,8.57107672094944,7.54887235529226,7.49588902750359,7.25722977543438,9.35607423836098,8.81912850211454,9.05326689157602,7.52282725051148,7.52503000146922,7.42945099817042
"Tafa5",9.49673208291655,8.93800408149826,9.07646367999344,8.27999424220744,8.0705671521866,7.86224519887238,9.10668448827704,8.60072790930326,8.76645796464374,8.41468867113121,8.16611798498481,7.87693488262102
"Cyp2c50",6.55020070424497,6.48165861521804,6.78770900450451,7.88643900632316,7.30143772004991,7.69431638812391,7.04727577649333,6.96971153553281,6.87673560955536,8.17793756869166,7.76852250153899,7.54484610613738
"Glyat",9.37090753135685,9.46654502960881,9.27834175653423,11.0222719429946,10.7007790179706,10.8704989843843,9.47093641720755,9.70373833629155,9.50323257393384,10.8857384993157,10.790412049212,10.7911641991235
"Ffar4",7.31885249406155,7.61175048096429,6.92305353823455,8.28947616796441,8.70615153380338,8.33119021114993,7.60246915942678,7.94354700158453,7.31962398661449,8.5047170898717,8.66282951751949,7.92343497863232
"Psat1",8.58785431006254,8.20160624869147,8.2480438186674,10.16722352171,10.1129224891986,10.1445127039729,8.58626153902183,8.39815746085149,8.36275298278134,10.6496763361818,10.7255845904375,10.4923224407048
"AW112010",9.93822746210007,10.8049009642511,9.89963738436384,11.3499964440681,11.7339825598771,11.9055726999357,10.4114439073582,11.2449724662914,10.6327843388635,11.1690964381708,11.6298499530166,11.4814219314703
"Fam111a",6.91578780275949,6.79474148335864,7.03372464418731,7.45536552388288,7.23959362178629,7.65430926503997,6.53388364538015,6.63416234110783,6.34215765106567,7.78847251915348,7.54126329309826,7.76600096288628
"Unc5b",12.3750315073384,12.4434924362345,12.5310353797698,11.2576552358736,11.3635426848441,11.4634919593201,12.2612660395204,12.3500577031864,12.4877315452098,11.2945959276005,11.4706413451217,11.6235482339192
"Atf5",9.03312317432354,9.0644684045872,9.09229540794158,10.1676603472408,10.2637269469278,10.1389527035518,9.1831295749808,9.17549444390901,9.06670886253027,10.2154694206327,10.249526598732,10.0319607392024
"Dio3",6.70365831967811,6.83553752258905,6.922503429703,7.5581320264035,7.72028349698518,7.23655342828012,7.40245431609998,7.05174814815682,6.82524898576207,8.28262574170628,8.31138198098332,7.90581302204341
"Mylk",7.84248433368474,7.89254030812577,7.42685519703726,8.89085656762317,8.83301969085172,9.05981319086211,7.80142012215403,7.91939382411443,7.80423498912985,8.72045565449798,8.80982531311831,9.12559051930294
